Sample;ID;Animal;Location;Sample_or_Control;Original_or_Decontam
RT1.x;RT1;1;RT;True Sample;Original
RB1.x;RB1;1;RB;True Sample;Original
LT1.x;LT1;1;LT;True Sample;Original
LB1.x;LB1;1;LB;True Sample;Original
VAG1.x;VAG1;1;VAG;True Sample;Original
BLANK1.x;BLANK1;BLANK;BLANK;False Sample;Original
CTR1.x;CTR1;CTR;CTR;False Sample;Original
BLANK2.x;BLANK2;BLANK;BLANK;False Sample;Original
RT2.x;RT2;2;RT;True Sample;Original
RB2.x;RB2;2;RB;True Sample;Original
LT2.x;LT2;2;LT;True Sample;Original
LB2.x;LB2;2;LB;True Sample;Original
VAG2.x;VAG2;2;VAG;True Sample;Original
CTR2.x;CTR2;CTR;CTR;False Sample;Original
RT3.x;RT3;3;RT;True Sample;Original
RB3.x;RB3;3;RB;True Sample;Original
LT3.x;LT3;3;LT;True Sample;Original
LB3.x;LB3;3;LB;True Sample;Original
VAG3.x;VAG3;3;VAG;True Sample;Original
CTR3.x;CTR3;CTR;CTR;False Sample;Original
BLANK3.x;BLANK3;BLANK;BLANK;False Sample;Original
RT4.x;RT4;4;RT;True Sample;Original
RB4.x;RB4;4;RB;True Sample;Original
LT4.x;LT4;4;LT;True Sample;Original
LB4.x;LB4;4;LB;True Sample;Original
VAG4.x;VAG4;4;VAG;True Sample;Original
RT5.x;RT5;5;RT;True Sample;Original
RB5.x;RB5;5;RB;True Sample;Original
LT5.x;LT5;5;LT;True Sample;Original
LB5.x;LB5;5;LB;True Sample;Original
VAG5.x;VAG5;5;VAG;True Sample;Original
RT1.y;RT1;1;RT;True Sample;Decontaminated
RB1.y;RB1;1;RB;True Sample;Decontaminated
LT1.y;LT1;1;LT;True Sample;Decontaminated
LB1.y;LB1;1;LB;True Sample;Decontaminated
VAG1.y;VAG1;1;VAG;True Sample;Decontaminated
BLANK1.y;BLANK1;BLANK;BLANK;False Sample;Decontaminated
CTR1.y;CTR1;CTR;CTR;False Sample;Decontaminated
BLANK2.y;BLANK2;BLANK;BLANK;False Sample;Decontaminated
RT2.y;RT2;2;RT;True Sample;Decontaminated
RB2.y;RB2;2;RB;True Sample;Decontaminated
LT2.y;LT2;2;LT;True Sample;Decontaminated
LB2.y;LB2;2;LB;True Sample;Decontaminated
VAG2.y;VAG2;2;VAG;True Sample;Decontaminated
CTR2.y;CTR2;CTR;CTR;False Sample;Decontaminated
RT3.y;RT3;3;RT;True Sample;Decontaminated
RB3.y;RB3;3;RB;True Sample;Decontaminated
LT3.y;LT3;3;LT;True Sample;Decontaminated
LB3.y;LB3;3;LB;True Sample;Decontaminated
VAG3.y;VAG3;3;VAG;True Sample;Decontaminated
CTR3.y;CTR3;CTR;CTR;False Sample;Decontaminated
BLANK3.y;BLANK3;BLANK;BLANK;False Sample;Decontaminated
RT4.y;RT4;4;RT;True Sample;Decontaminated
RB4.y;RB4;4;RB;True Sample;Decontaminated
LT4.y;LT4;4;LT;True Sample;Decontaminated
LB4.y;LB4;4;LB;True Sample;Decontaminated
VAG4.y;VAG4;4;VAG;True Sample;Decontaminated
RT5.y;RT5;5;RT;True Sample;Decontaminated
RB5.y;RB5;5;RB;True Sample;Decontaminated
LT5.y;LT5;5;LT;True Sample;Decontaminated
LB5.y;LB5;5;LB;True Sample;Decontaminated
VAG5.y;VAG5;5;VAG;True Sample;Decontaminated
